workload_id,teacher_id,date,status,teaching_hours,num_classes,country
NGA_TCH_00000978_WL_033,NGA_TCH_00000978,2025-10-15 23:15:38.282217,Present,8.0,0.0,Nigeria
NGA_TCH_00000966_WL_025,NGA_TCH_00000966,2025-04-28 23:15:38.240163,Present,1.0,1.0,Nigeria
NGA_TCH_00001801_WL_007,NGA_TCH_00001801,2025-06-30 23:15:41.726899,Present,4.0,4.0,Nigeria
NGA_TCH_00000121_WL_014,NGA_TCH_00000121,2025-09-14 23:15:34.638751,Training,0.0,0.0,Nigeria
NGA_TCH_00001959_WL_035,NGA_TCH_00001959,2025-06-17 23:15:42.461616,Present,8.0,4.0,Nigeria
NGA_TCH_00002462_WL_027,NGA_TCH_00002462,2025-05-06 23:15:44.894637,Present,3.0,3.0,Nigeria
NGA_TCH_00002839_WL_017,NGA_TCH_00002839,2025-08-04 23:15:46.844591,Present,0.0,0.0,Nigeria
NGA_TCH_00001526_WL_016,NGA_TCH_00001526,2025-07-20 23:15:40.613274,Present,3.0,2.0,Nigeria
NGA_TCH_00002482_WL_000,NGA_TCH_00002482,2025-06-25 23:15:44.987071,Present,7.0,5.0,Nigeria
NGA_TCH_00001846_WL_027,NGA_TCH_00001846,2025-09-20 23:15:41.902312,Present,3.0,3.0,Nigeria
NGA_TCH_00000869_WL_007,NGA_TCH_00000869,2025-09-01 23:15:37.824103,Present,1.0,1.0,Nigeria
NGA_TCH_00001392_WL_033,NGA_TCH_00001392,2025-09-02 23:15:39.988488,Present,7.0,3.0,Nigeria
NGA_TCH_00001619_WL_031,NGA_TCH_00001619,2025-08-04 23:15:40.991931,On Leave,0.0,0.0,Nigeria
NGA_TCH_00000443_WL_040,NGA_TCH_00000443,2025-05-14 23:15:35.998796,Present,5.0,1.0,Nigeria
NGA_TCH_00000563_WL_021,NGA_TCH_00000563,2025-08-09 23:15:36.499638,On Leave,0.0,0.0,Nigeria
NGA_TCH_00002622_WL_035,NGA_TCH_00002622,2025-06-06 23:15:45.615875,Absent,0.0,0.0,Nigeria
NGA_TCH_00002624_WL_018,NGA_TCH_00002624,2025-08-20 23:15:45.620779,Present,5.0,0.0,Nigeria
NGA_TCH_00002314_WL_033,NGA_TCH_00002314,2025-05-06 23:15:44.223325,Present,8.0,3.0,Nigeria
NGA_TCH_00001566_WL_012,NGA_TCH_00001566,2025-05-07 23:15:40.773081,Present,4.0,0.0,Nigeria
NGA_TCH_00000846_WL_005,NGA_TCH_00000846,2025-05-27 23:15:37.627145,Present,3.0,4.0,Nigeria
NGA_TCH_00002019_WL_022,NGA_TCH_00002019,2025-07-25 23:15:42.746727,Present,1.0,1.0,Nigeria
NGA_TCH_00001482_WL_016,NGA_TCH_00001482,2025-07-27 23:15:40.439745,Present,4.0,1.0,Nigeria
NGA_TCH_00002520_WL_007,NGA_TCH_00002520,2025-05-18 23:15:45.154721,On Leave,0.0,0.0,Nigeria
NGA_TCH_00002345_WL_005,NGA_TCH_00002345,2025-06-19 23:15:44.356155,Present,1.0,3.0,Nigeria
NGA_TCH_00001853_WL_033,NGA_TCH_00001853,2025-08-02 23:15:41.936275,Present,0.0,5.0,Nigeria
NGA_TCH_00001687_WL_007,NGA_TCH_00001687,2025-05-19 23:15:41.268406,Present,2.0,0.0,Nigeria
NGA_TCH_00001271_WL_023,NGA_TCH_00001271,2025-10-02 23:15:39.499608,Present,5.0,3.0,Nigeria
NGA_TCH_00001120_WL_029,NGA_TCH_00001120,2025-10-08 23:15:38.874959,Present,5.0,1.0,Nigeria
NGA_TCH_00000396_WL_009,NGA_TCH_00000396,2025-05-28 23:15:35.802110,Present,4.0,5.0,Nigeria
NGA_TCH_00002676_WL_031,NGA_TCH_00002676,2025-08-30 23:15:45.832570,Absent,0.0,0.0,Nigeria
NGA_TCH_00002562_WL_009,NGA_TCH_00002562,2025-06-27 23:15:45.359357,Present,0.0,0.0,Nigeria
NGA_TCH_00002308_WL_018,NGA_TCH_00002308,2025-07-23 23:15:44.199842,Present,7.0,3.0,Nigeria
NGA_TCH_00002734_WL_003,NGA_TCH_00002734,2025-05-17 23:15:46.070134,Present,0.0,2.0,Nigeria
NGA_TCH_00002548_WL_016,NGA_TCH_00002548,2025-08-14 23:15:45.297262,Present,1.0,4.0,Nigeria
NGA_TCH_00001563_WL_011,NGA_TCH_00001563,2025-09-18 23:15:40.761851,Present,2.0,5.0,Nigeria
NGA_TCH_00002087_WL_025,NGA_TCH_00002087,2025-09-11 23:15:43.051457,Present,,4.0,Nigeria
NGA_TCH_00001879_WL_025,NGA_TCH_00001879,2025-08-31 23:15:42.063272,Present,4.0,4.0,Nigeria
NGA_TCH_00001858_WL_027,NGA_TCH_00001858,2025-05-13 23:15:41.960917,Present,3.0,5.0,Nigeria
NGA_TCH_00000794_WL_029,NGA_TCH_00000794,2025-09-02 23:15:37.428374,Present,7.0,1.0,Nigeria
NGA_TCH_00001186_WL_027,NGA_TCH_00001186,2025-08-31 23:15:39.150233,Present,7.0,3.0,Nigeria
NGA_TCH_00002466_WL_002,NGA_TCH_00002466,2025-09-06 23:15:44.912262,Absent,0.0,0.0,Nigeria
NGA_TCH_00002350_WL_030,NGA_TCH_00002350,2025-10-18 23:15:44.387925,Present,4.0,,Nigeria
NGA_TCH_00001095_WL_008,NGA_TCH_00001095,2025-05-30 23:15:38.770626,Present,0.0,1.0,Nigeria
NGA_TCH_00002615_WL_007,NGA_TCH_00002615,2025-07-30 23:15:45.584894,Present,6.0,1.0,Nigeria
NGA_TCH_00001779_WL_003,NGA_TCH_00001779,2025-10-14 23:15:41.633739,Present,5.0,5.0,Nigeria
NGA_TCH_00002401_WL_011,NGA_TCH_00002401,2025-07-06 23:15:44.628102,Present,4.0,5.0,Nigeria
NGA_TCH_00001131_WL_006,NGA_TCH_00001131,2025-06-14 23:15:38.914083,Present,3.0,3.0,Nigeria
NGA_TCH_00002233_WL_000,NGA_TCH_00002233,2025-08-18 23:15:43.785936,Present,8.0,0.0,Nigeria
NGA_TCH_00000896_WL_029,NGA_TCH_00000896,2025-06-12 23:15:37.960415,Absent,0.0,0.0,Nigeria
NGA_TCH_00000423_WL_012,NGA_TCH_00000423,2025-10-11 23:15:35.917721,Present,4.0,2.0,Nigeria
NGA_TCH_00001115_WL_035,NGA_TCH_00001115,2025-08-24 23:15:38.852406,Present,0.0,0.0,Nigeria
NGA_TCH_00001376_WL_010,NGA_TCH_00001376,2025-09-09 23:15:39.917979,Present,1.0,4.0,Nigeria
NGA_TCH_00002380_WL_006,NGA_TCH_00002380,2025-07-24 23:15:44.532578,Present,3.0,3.0,Nigeria
NGA_TCH_00001174_WL_026,NGA_TCH_00001174,2025-08-10 23:15:39.100674,Present,,5.0,Nigeria
NGA_TCH_00001123_WL_023,NGA_TCH_00001123,2025-10-03 23:15:38.886478,Present,0.0,0.0,Nigeria
NGA_TCH_00002507_WL_005,NGA_TCH_00002507,2025-05-11 23:15:45.101603,Present,3.0,1.0,Nigeria
NGA_TCH_00000743_WL_034,NGA_TCH_00000743,2025-06-19 23:15:37.225116,Training,0.0,0.0,Nigeria
NGA_TCH_00001909_WL_016,NGA_TCH_00001909,2025-08-07 23:15:42.230043,Present,3.0,0.0,Nigeria
NGA_TCH_00002799_WL_011,NGA_TCH_00002799,2025-07-04 23:15:46.621122,Present,5.0,1.0,Nigeria
NGA_TCH_00002728_WL_033,NGA_TCH_00002728,2025-05-23 23:15:46.045575,Present,3.0,4.0,Nigeria
NGA_TCH_00000143_WL_021,NGA_TCH_00000143,2025-09-10 23:15:34.777276,Present,1.0,5.0,Nigeria
NGA_TCH_00000150_WL_015,NGA_TCH_00000150,2025-09-18 23:15:34.801195,Present,6.0,3.0,Nigeria
NGA_TCH_00000447_WL_007,NGA_TCH_00000447,2025-09-07 23:15:36.011789,Present,5.0,0.0,Nigeria
NGA_TCH_00001287_WL_024,NGA_TCH_00001287,2025-05-19 23:15:39.569716,Present,3.0,0.0,Nigeria
NGA_TCH_00000364_WL_025,NGA_TCH_00000364,2025-09-26 23:15:35.681924,On Leave,0.0,0.0,Nigeria
NGA_TCH_00000974_WL_015,NGA_TCH_00000974,2025-05-20 23:15:38.265625,Present,1.0,3.0,Nigeria
NGA_TCH_00002663_WL_044,NGA_TCH_00002663,2025-09-29 23:15:45.778988,Present,7.0,4.0,Nigeria
NGA_TCH_00000153_WL_019,NGA_TCH_00000153,2025-05-21 23:15:34.812718,Present,4.0,0.0,Nigeria
NGA_TCH_00001496_WL_020,NGA_TCH_00001496,2025-09-27 23:15:40.494277,Present,0.0,3.0,Nigeria
NGA_TCH_00001781_WL_005,NGA_TCH_00001781,2025-04-28 23:15:41.642394,Present,2.0,3.0,Nigeria
NGA_TCH_00000229_WL_014,NGA_TCH_00000229,2025-05-12 23:15:35.118958,Present,3.0,3.0,Nigeria
NGA_TCH_00002361_WL_031,NGA_TCH_00002361,2025-09-15 23:15:44.440342,Present,1.0,2.0,Nigeria
NGA_TCH_00002576_WL_016,NGA_TCH_00002576,2025-09-27 23:15:45.421882,Present,8.0,3.0,Nigeria
NGA_TCH_00001181_WL_019,NGA_TCH_00001181,2025-10-12 23:15:39.127863,Present,6.0,5.0,Nigeria
NGA_TCH_00000024_WL_017,NGA_TCH_00000024,2025-07-14 23:15:34.239175,On Leave,0.0,0.0,Nigeria
NGA_TCH_00002810_WL_002,NGA_TCH_00002810,2025-05-31 23:15:46.679334,On Leave,0.0,0.0,Nigeria
NGA_TCH_00002364_WL_032,NGA_TCH_00002364,2025-09-19 23:15:44.454368,Present,5.0,0.0,Nigeria
NGA_TCH_00000395_WL_020,NGA_TCH_00000395,2025-06-29 23:15:35.800846,Present,4.0,3.0,Nigeria
NGA_TCH_00002272_WL_022,NGA_TCH_00002272,2025-08-29 23:15:44.027836,Training,0.0,0.0,Nigeria
NGA_TCH_00000883_WL_025,NGA_TCH_00000883,2025-06-21 23:15:37.893000,Present,6.0,2.0,Nigeria
NGA_TCH_00000391_WL_022,NGA_TCH_00000391,2025-10-03 23:15:35.786867,Present,3.0,2.0,Nigeria
NGA_TCH_00001158_WL_036,NGA_TCH_00001158,2025-05-21 23:15:39.044243,Present,4.0,2.0,Nigeria
NGA_TCH_00001892_WL_015,NGA_TCH_00001892,2025-08-24 23:15:42.118889,Training,0.0,0.0,Nigeria
NGA_TCH_00002229_WL_000,NGA_TCH_00002229,2025-06-05 23:15:43.757626,Present,1.0,1.0,Nigeria
NGA_TCH_00000689_WL_015,NGA_TCH_00000689,2025-07-12 23:15:37.006143,On Leave,0.0,0.0,Nigeria
NGA_TCH_00000660_WL_044,NGA_TCH_00000660,2025-07-04 23:15:36.895540,Present,3.0,1.0,Nigeria
NGA_TCH_00002784_WL_000,NGA_TCH_00002784,2025-10-03 23:15:46.381606,Present,3.0,2.0,Nigeria
NGA_TCH_00000648_WL_024,NGA_TCH_00000648,2025-05-22 23:15:36.848247,Present,6.0,5.0,Nigeria
NGA_TCH_00000093_WL_033,NGA_TCH_00000093,2025-04-26 23:15:34.518000,Present,3.0,1.0,Nigeria
NGA_TCH_00001188_WL_019,NGA_TCH_00001188,2025-06-01 23:15:39.157541,Present,4.0,2.0,Nigeria
NGA_TCH_00001392_WL_038,NGA_TCH_00001392,2025-07-08 23:15:39.989005,Absent,0.0,0.0,Nigeria
NGA_TCH_00000634_WL_017,NGA_TCH_00000634,2025-06-30 23:15:36.793043,Present,3.0,4.0,Nigeria
NGA_TCH_00000600_WL_021,NGA_TCH_00000600,2025-10-11 23:15:36.654396,Present,8.0,0.0,Nigeria
NGA_TCH_00002458_WL_009,NGA_TCH_00002458,2025-04-29 23:15:44.871264,Absent,0.0,0.0,Nigeria
NGA_TCH_00002513_WL_023,NGA_TCH_00002513,2025-08-09 23:15:45.129228,Present,1.0,2.0,Nigeria
NGA_TCH_00000844_WL_031,NGA_TCH_00000844,2025-09-23 23:15:37.622299,Present,2.0,3.0,Nigeria
NGA_TCH_00002639_WL_043,NGA_TCH_00002639,2025-10-05 23:15:45.681279,Present,2.0,0.0,Nigeria
NGA_TCH_00001937_WL_016,NGA_TCH_00001937,2025-08-21 23:15:42.371457,Present,2.0,4.0,Nigeria
NGA_TCH_00001830_WL_008,NGA_TCH_00001830,2025-06-17 23:15:41.831772,Present,4.0,0.0,Nigeria
NGA_TCH_00001443_WL_016,NGA_TCH_00001443,2025-10-04 23:15:40.269594,Present,5.0,0.0,Nigeria
NGA_TCH_00000754_WL_046,NGA_TCH_00000754,2025-10-02 23:15:37.275037,Present,5.0,1.0,Nigeria
NGA_TCH_00001413_WL_030,NGA_TCH_00001413,2025-06-27 23:15:40.080243,Present,6.0,5.0,Nigeria
NGA_TCH_00001209_WL_012,NGA_TCH_00001209,2025-08-11 23:15:39.242994,Present,6.0,2.0,Nigeria
NGA_TCH_00000822_WL_008,NGA_TCH_00000822,2025-07-25 23:15:37.536856,On Leave,0.0,0.0,Nigeria
NGA_TCH_00001566_WL_004,NGA_TCH_00001566,2025-05-21 23:15:40.772325,Absent,0.0,0.0,Nigeria
NGA_TCH_00001008_WL_030,NGA_TCH_00001008,2025-05-19 23:15:38.408507,Present,5.0,1.0,Nigeria
NGA_TCH_00001593_WL_033,NGA_TCH_00001593,2025-06-30 23:15:40.888334,Present,1.0,3.0,Nigeria
NGA_TCH_00002254_WL_038,NGA_TCH_00002254,2025-07-03 23:15:43.915147,Present,2.0,0.0,Nigeria
NGA_TCH_00000156_WL_048,NGA_TCH_00000156,2025-05-06 23:15:34.828410,Present,1.0,2.0,Nigeria
NGA_TCH_00001990_WL_011,NGA_TCH_00001990,2025-05-20 23:15:42.606861,Present,8.0,2.0,Nigeria
NGA_TCH_00002005_WL_019,NGA_TCH_00002005,2025-05-30 23:15:42.678517,Present,4.0,4.0,Nigeria
NGA_TCH_00001584_WL_026,NGA_TCH_00001584,2025-07-08 23:15:40.850930,Present,5.0,3.0,Nigeria
NGA_TCH_00000340_WL_017,NGA_TCH_00000340,2025-05-04 23:15:35.589086,Present,1.0,1.0,Nigeria
NGA_TCH_00001608_WL_003,NGA_TCH_00001608,2025-10-19 23:15:40.944495,Absent,0.0,0.0,Nigeria
NGA_TCH_00000564_WL_021,NGA_TCH_00000564,2025-09-07 23:15:36.503136,Present,1.0,4.0,Nigeria
NGA_TCH_00001958_WL_043,NGA_TCH_00001958,2025-06-05 23:15:42.455506,Present,7.0,4.0,Nigeria
NGA_TCH_00001427_WL_033,NGA_TCH_00001427,2025-06-29 23:15:40.134804,Training,0.0,0.0,Nigeria
NGA_TCH_00002587_WL_006,NGA_TCH_00002587,2025-09-20 23:15:45.469515,Present,0.0,1.0,Nigeria
NGA_TCH_00001495_WL_011,NGA_TCH_00001495,2025-06-19 23:15:40.489356,Present,5.0,5.0,Nigeria
NGA_TCH_00000876_WL_029,NGA_TCH_00000876,2025-05-28 23:15:37.860953,Present,0.0,4.0,Nigeria
NGA_TCH_00000982_WL_000,NGA_TCH_00000982,2025-10-21 23:15:38.296606,Present,,3.0,Nigeria
NGA_TCH_00000432_WL_031,NGA_TCH_00000432,2025-05-30 23:15:35.956532,Present,,1.0,Nigeria
NGA_TCH_00000789_WL_023,NGA_TCH_00000789,2025-05-07 23:15:37.405977,Present,3.0,4.0,Nigeria
NGA_TCH_00001303_WL_041,NGA_TCH_00001303,2025-05-28 23:15:39.633907,Present,1.0,4.0,Nigeria
NGA_TCH_00000996_WL_019,NGA_TCH_00000996,2025-08-19 23:15:38.355990,Present,6.0,3.0,Nigeria
NGA_TCH_00000299_WL_001,NGA_TCH_00000299,2025-06-11 23:15:35.412836,Present,5.0,1.0,Nigeria
NGA_TCH_00002599_WL_017,NGA_TCH_00002599,2025-10-14 23:15:45.521573,Present,2.0,3.0,Nigeria
NGA_TCH_00000019_WL_028,NGA_TCH_00000019,2025-05-07 23:15:34.218562,Training,0.0,0.0,Nigeria
NGA_TCH_00002212_WL_017,NGA_TCH_00002212,2025-10-03 23:15:43.595768,On Leave,0.0,0.0,Nigeria
NGA_TCH_00001024_WL_004,NGA_TCH_00001024,2025-06-14 23:15:38.480224,Present,7.0,3.0,Nigeria
NGA_TCH_00001853_WL_035,NGA_TCH_00001853,2025-07-20 23:15:41.936472,Present,1.0,5.0,Nigeria
NGA_TCH_00000312_WL_007,NGA_TCH_00000312,2025-05-01 23:15:35.470219,Present,3.0,3.0,Nigeria
NGA_TCH_00000119_WL_020,NGA_TCH_00000119,2025-10-02 23:15:34.630169,Present,7.0,5.0,Nigeria
NGA_TCH_00000023_WL_006,NGA_TCH_00000023,2025-08-29 23:15:34.234401,Present,,4.0,Nigeria
NGA_TCH_00001081_WL_010,NGA_TCH_00001081,2025-07-31 23:15:38.717685,Present,4.0,1.0,Nigeria
NGA_TCH_00002540_WL_026,NGA_TCH_00002540,2025-10-09 23:15:45.252506,Present,3.0,3.0,Nigeria
NGA_TCH_00000827_WL_026,NGA_TCH_00000827,2025-05-02 23:15:37.556349,Present,0.0,0.0,Nigeria
NGA_TCH_00001430_WL_030,NGA_TCH_00001430,2025-09-16 23:15:40.146656,Present,6.0,4.0,Nigeria
NGA_TCH_00000955_WL_008,NGA_TCH_00000955,2025-09-14 23:15:38.194988,Present,1.0,2.0,Nigeria
NGA_TCH_00001661_WL_028,NGA_TCH_00001661,2025-08-26 23:15:41.164564,Present,1.0,4.0,Nigeria
NGA_TCH_00000762_WL_008,NGA_TCH_00000762,2025-05-29 23:15:37.304740,Absent,0.0,0.0,Nigeria
NGA_TCH_00001046_WL_029,NGA_TCH_00001046,2025-06-12 23:15:38.573491,Present,8.0,3.0,Nigeria
NGA_TCH_00000008_WL_002,NGA_TCH_00000008,2025-10-21 23:15:34.168327,Absent,0.0,0.0,Nigeria
NGA_TCH_00000251_WL_007,NGA_TCH_00000251,2025-07-10 23:15:35.221000,Absent,0.0,0.0,Nigeria
NGA_TCH_00000424_WL_018,NGA_TCH_00000424,2025-05-19 23:15:35.924219,Present,6.0,1.0,Nigeria
